Date,Key 2,Info
1/1/2019 0:00,1,407888
1/1/2019 5:40,1,415860
1/1/2019 14:29,2,218058
1/1/2019 20:50,1,121010
1/2/2019 17:59,6,727893
1/3/2019 8:09,6,707056
1/3/2019 18:30,5,976755
1/4/2019 10:34,5,726458
1/5/2019 0:41,3,167090
1/5/2019 18:49,4,662727
1/6/2019 1:16,4,828971
1/6/2019 21:05,3,452228
1/7/2019 20:52,5,914010
1/8/2019 3:29,5,454553
1/9/2019 2:24,5,420645
1/10/2019 0:20,2,924245
1/10/2019 4:02,3,769216
1/11/2019 1:06,4,624591
1/11/2019 14:31,2,6305
1/12/2019 9:34,3,370896
1/13/2019 6:58,6,806874
1/13/2019 8:24,2,18217
1/14/2019 5:21,2,716277
1/14/2019 15:06,6,725139
1/14/2019 17:43,3,404911
1/15/2019 13:06,5,668930
1/16/2019 2:48,6,728530
1/16/2019 11:23,2,719821
1/16/2019 13:24,6,436589
1/17/2019 9:40,4,233144
1/17/2019 13:29,6,618191
1/17/2019 20:06,6,175747
1/18/2019 19:55,5,53288
1/19/2019 6:16,6,761657
1/19/2019 21:05,1,73891
1/20/2019 19:00,4,519405
1/20/2019 19:18,3,493060
1/21/2019 16:50,6,889862
1/22/2019 11:01,6,152562
1/23/2019 2:44,5,860572
1/23/2019 20:43,1,657406
1/24/2019 2:14,1,572767
1/24/2019 9:55,1,563053
1/25/2019 7:43,1,842881
1/26/2019 3:57,3,32620
1/26/2019 6:13,5,810722
1/27/2019 0:35,1,634568
1/27/2019 22:58,1,636638
1/28/2019 4:04,5,836013
1/28/2019 18:43,5,851878
1/29/2019 8:53,5,915799
1/29/2019 19:12,5,446077
1/29/2019 23:23,1,427971
1/30/2019 10:20,5,728934
1/30/2019 13:20,4,522844
1/30/2019 19:15,3,98412
1/31/2019 14:22,3,22410
2/1/2019 0:31,1,703772
2/1/2019 5:45,5,60749
2/2/2019 2:31,3,567547
2/2/2019 18:21,4,406696
2/3/2019 0:05,2,969011
2/3/2019 0:40,6,879388
